,stock_id,stock_name,industry_category,list_type,list_date
3582,2912,統一超,貿易百貨,twse,2025-09-30
3612,2913,農林,貿易百貨,twse,2025-09-30
3722,2915,潤泰全,貿易百貨,twse,2025-09-30
3765,2916,滿心,居家生活類,tpex,2025-09-30
3724,2923,鼎固-KY,建材營造,twse,2025-09-30
3863,2924,宏太-KY,居家生活類,tpex,2025-09-30
3864,2926,誠品生活,文化創意業,tpex,2025-09-30
93,2928,紅馬-KY,觀光事業,tpex,2021-10-16
3865,2929,淘帝-KY,貿易百貨,twse,2025-09-30
735,2936,客思達-KY,貿易百貨,twse,2025-09-15
3866,2937,集雅社,居家生活類,tpex,2025-09-30
3867,2938,床的世界,居家生活,emerging,2025-09-30
3868,2939,永邑-KY,貿易百貨,twse,2025-09-30
3869,2940,歐都納,運動休閒,emerging,2025-09-30
3870,2941,米斯特,居家生活類,tpex,2025-09-30
3871,2942,京站,居家生活,emerging,2025-09-30
3872,2945,三商家購,貿易百貨,twse,2025-09-30
3873,2947,振宇五金,居家生活類,tpex,2025-09-30
3875,2948,寶陞,居家生活類,tpex,2025-09-30
3887,2949,欣新網,數位雲端類,tpex,2025-09-30
3877,3002,歐格,電腦及週邊設備業,twse,2025-09-30
3879,3003,健和興,電子零組件業,twse,2025-09-30
3880,3004,豐達科,鋼鐵工業,twse,2025-09-30
3882,3005,神基,電腦及週邊設備業,twse,2025-09-30
3884,3006,晶豪科,電子工業,twse,2025-09-30
526,3007,綠點,電子工業,twse,2024-12-04
3886,3008,大立光,電子工業,twse,2025-09-30
473,3009,奇美電,電子工業,twse,2024-12-04
3862,3010,華立,電子工業,twse,2025-09-30
3860,3011,今皓,電子工業,twse,2025-09-30
3837,3013,晟銘電,電腦及週邊設備業,twse,2025-09-30
3839,3014,聯陽,電子工業,twse,2025-09-30
3841,3015,全漢,電子零組件業,twse,2025-09-30
3843,3016,嘉晶,電子工業,twse,2025-09-30
3889,3017,奇鋐,電腦及週邊設備業,twse,2025-09-30
3847,3018,隆銘綠能,電子工業,twse,2025-09-30
3849,3019,亞光,電子工業,twse,2025-09-30
494,3020,奇普仕,電子工業,twse,2024-12-04
3851,3021,鴻名,電子零組件業,twse,2025-09-30
3853,3022,威強電,電腦及週邊設備業,twse,2025-09-30
3855,3023,信邦,電子零組件業,twse,2025-09-30
3857,3024,憶聲,電子工業,twse,2025-09-30
3874,3025,星通,電子工業,twse,2025-09-30
3903,3026,禾伸堂,電子零組件業,twse,2025-09-30
3919,3027,盛達,電子工業,twse,2025-09-30
3921,3028,增你強,電子通路業,twse,2025-09-30
3923,3029,零壹,電子工業,twse,2025-09-30
3930,3030,德律,其他電子業,twse,2025-09-30
3926,3031,佰鴻,電子工業,twse,2025-09-30
3928,3032,偉訓,電子零組件業,twse,2025-09-30
3933,3033,威健,電子通路業,twse,2025-09-30
3942,3034,聯詠,電子工業,twse,2025-09-30
3941,3035,智原,半導體業,twse,2025-09-30
3939,3036,文曄,電子工業,twse,2025-09-30
3938,3036A,文曄甲特,電子工業,twse,2025-09-30
3935,3037,欣興,電子工業,twse,2025-09-30
3932,3038,全台,光電業,twse,2025-09-30
3918,3040,遠見,其他,twse,2025-09-30
3915,3041,揚智,半導體業,twse,2025-09-30
3892,3042,晶技,電子零組件業,twse,2025-09-30
3894,3043,科風,電子工業,twse,2025-09-30
3896,3044,健鼎,電子零組件業,twse,2025-09-30
3898,3045,台灣大,電子工業,twse,2025-09-30
3900,3046,建碁,電腦及週邊設備業,twse,2025-09-30
3902,3047,訊舟,電子工業,twse,2025-09-30
3916,3048,益登,電子工業,twse,2025-09-30
3906,3049,精金,電子工業,twse,2025-09-30
3908,3050,鈺德,電子工業,twse,2025-09-30
3910,3051,力特,電子工業,twse,2025-09-30
3911,3052,夆典,建材營造,twse,2025-09-30
507,3053,鼎營,其他電子業,twse,2024-12-04
3912,3054,立萬利,食品工業,twse,2025-09-30
3913,3055,蔚華科,電子工業,twse,2025-09-30
