,stock_id,stock_name,industry_category,list_type,list_date,raw
3367,4571,鈞興-KY,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4571', 'stock_name': '鈞興-KY', 'type': 'twse', 'date': '2025-09-30'}"
3368,4572,駐龍,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4572', 'stock_name': '駐龍', 'type': 'twse', 'date': '2025-09-30'}"
3369,4573,高明鐵,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4573', 'stock_name': '高明鐵', 'type': 'emerging', 'date': '2025-09-30'}"
3370,4575,銓寶,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4575', 'stock_name': '銓寶', 'type': 'emerging', 'date': '2025-09-30'}"
3371,4576,大銀微系統,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4576', 'stock_name': '大銀微系統', 'type': 'twse', 'date': '2025-09-30'}"
3372,4577,達航科技,其他電子類,tpex,2025-09-30,"{'industry_category': '其他電子類', 'stock_id': '4577', 'stock_name': '達航科技', 'type': 'tpex', 'date': '2025-09-30'}"
3373,4580,捷流閥業,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4580', 'stock_name': '捷流閥業', 'type': 'tpex', 'date': '2025-09-30'}"
3374,4581,光隆精密-KY,汽車工業,twse,2025-09-30,"{'industry_category': '汽車工業', 'stock_id': '4581', 'stock_name': '光隆精密-KY', 'type': 'twse', 'date': '2025-09-30'}"
3375,4582,聚恆,綠能環保,emerging,2025-09-30,"{'industry_category': '綠能環保', 'stock_id': '4582', 'stock_name': '聚恆', 'type': 'emerging', 'date': '2025-09-30'}"
3376,4583,台灣精銳,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4583', 'stock_name': '台灣精銳', 'type': 'twse', 'date': '2025-09-30'}"
3377,4568,科際精密,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4568', 'stock_name': '科際精密', 'type': 'tpex', 'date': '2025-09-30'}"
3378,4584,君帆,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4584', 'stock_name': '君帆', 'type': 'tpex', 'date': '2025-09-30'}"
3379,4585,達明,電子工業,twse,2025-09-30,"{'industry_category': '電子工業', 'stock_id': '4585', 'stock_name': '達明', 'type': 'twse', 'date': '2025-09-30'}"
3380,4587,寶元數控,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4587', 'stock_name': '寶元數控', 'type': 'emerging', 'date': '2025-09-30'}"
3381,4588,玖鼎電力,其他電子業,twse,2025-09-30,"{'industry_category': '其他電子業', 'stock_id': '4588', 'stock_name': '玖鼎電力', 'type': 'twse', 'date': '2025-09-30'}"
3382,4588,玖鼎電力,電子工業,twse,2025-09-30,"{'industry_category': '電子工業', 'stock_id': '4588', 'stock_name': '玖鼎電力', 'type': 'twse', 'date': '2025-09-30'}"
3383,4589,碩陽電機,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4589', 'stock_name': '碩陽電機', 'type': 'emerging', 'date': '2025-09-30'}"
3384,4590,富田,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4590', 'stock_name': '富田', 'type': 'emerging', 'date': '2025-09-30'}"
3385,4609,唐鋒,居家生活類,tpex,2025-09-30,"{'industry_category': '居家生活類', 'stock_id': '4609', 'stock_name': '唐鋒', 'type': 'tpex', 'date': '2025-09-30'}"
3386,4702,中美實,居家生活類,tpex,2025-09-30,"{'industry_category': '居家生活類', 'stock_id': '4702', 'stock_name': '中美實', 'type': 'tpex', 'date': '2025-09-30'}"
3387,4706,大恭,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4706', 'stock_name': '大恭', 'type': 'tpex', 'date': '2025-09-30'}"
3388,4707,磐亞,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4707', 'stock_name': '磐亞', 'type': 'tpex', 'date': '2025-09-30'}"
3389,4711,永純,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4711', 'stock_name': '永純', 'type': 'tpex', 'date': '2025-09-30'}"
3390,4585,達明,其他電子業,twse,2025-09-30,"{'industry_category': '其他電子業', 'stock_id': '4585', 'stock_name': '達明', 'type': 'twse', 'date': '2025-09-30'}"
3391,4420,光明,紡織纖維,tpex,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4420', 'stock_name': '光明', 'type': 'tpex', 'date': '2025-09-30'}"
3392,4419,皇家美食,觀光餐旅,tpex,2025-09-30,"{'industry_category': '觀光餐旅', 'stock_id': '4419', 'stock_name': '皇家美食', 'type': 'tpex', 'date': '2025-09-30'}"
3393,4417,金洲,紡織纖維,tpex,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4417', 'stock_name': '金洲', 'type': 'tpex', 'date': '2025-09-30'}"
3394,4106,雃博,生技醫療業,twse,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4106', 'stock_name': '雃博', 'type': 'twse', 'date': '2025-09-30'}"
3395,4107,邦特,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4107', 'stock_name': '邦特', 'type': 'tpex', 'date': '2025-09-30'}"
3396,4108,懷特,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4108', 'stock_name': '懷特', 'type': 'twse', 'date': '2025-09-30'}"
3397,4108,懷特,生技醫療業,twse,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4108', 'stock_name': '懷特', 'type': 'twse', 'date': '2025-09-30'}"
3398,4109,加捷生醫,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4109', 'stock_name': '加捷生醫', 'type': 'tpex', 'date': '2025-09-30'}"
3399,4111,濟生,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4111', 'stock_name': '濟生', 'type': 'tpex', 'date': '2025-09-30'}"
3400,4113,聯上,建材營造,tpex,2025-09-30,"{'industry_category': '建材營造', 'stock_id': '4113', 'stock_name': '聯上', 'type': 'tpex', 'date': '2025-09-30'}"
3401,4114,健喬,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4114', 'stock_name': '健喬', 'type': 'tpex', 'date': '2025-09-30'}"
3402,4115,善德生技,生技醫療業,emerging,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4115', 'stock_name': '善德生技', 'type': 'emerging', 'date': '2025-09-30'}"
3403,4116,明基醫,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4116', 'stock_name': '明基醫', 'type': 'tpex', 'date': '2025-09-30'}"
3404,4117,普生,生技醫療業,emerging,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4117', 'stock_name': '普生', 'type': 'emerging', 'date': '2025-09-30'}"
3405,4119,旭富,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4119', 'stock_name': '旭富', 'type': 'twse', 'date': '2025-09-30'}"
3406,4119,旭富,生技醫療業,twse,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4119', 'stock_name': '旭富', 'type': 'twse', 'date': '2025-09-30'}"
3407,4120,友華,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4120', 'stock_name': '友華', 'type': 'tpex', 'date': '2025-09-30'}"
3408,4121,優盛,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4121', 'stock_name': '優盛', 'type': 'tpex', 'date': '2025-09-30'}"
3409,4123,晟德,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4123', 'stock_name': '晟德', 'type': 'tpex', 'date': '2025-09-30'}"
